feature,dataset,dataset_variant,model_sfs,algorithm
T95018,colon1,union,LOG,seededsfsselector
H20709,colon1,union,LOG,seededsfsselector
D21261,colon1,union,LOG,seededsfsselector
M76378.2,colon1,union,LOG,seededsfsselector
H79852,colon1,union,LOG,seededsfsselector
