iteration,best_candidate,best_score,improvement,n_selected,selected_features,accepted
1,V1623,0.967949,0.14359,2,"['V3790', 'V1623']",True
2,V1231,0.984615,0.016667,3,"['V3790', 'V1623', 'V1231']",True
3,V2722,1.0,0.015385,4,"['V3790', 'V1623', 'V1231', 'V2722']",True
4,V1215,1.0,0.0,4,"['V3790', 'V1623', 'V1231', 'V2722']",False
5,V1215,1.0,0.0,4,"['V3790', 'V1623', 'V1231', 'V2722']",False
6,V1215,1.0,0.0,4,"['V3790', 'V1623', 'V1231', 'V2722']",False
