iteration,best_candidate,best_score,improvement,n_selected,selected_features,accepted
1,V10176,0.916547,0.263309,2,"['V9950', 'V10176']",True
2,V12098,0.966906,0.05036,3,"['V9950', 'V10176', 'V12098']",True
3,V2479,0.978417,0.011511,4,"['V9950', 'V10176', 'V12098', 'V2479']",True
4,V8473,0.981295,0.002878,5,"['V9950', 'V10176', 'V12098', 'V2479', 'V8473']",True
5,V5951,0.981295,-0.0,5,"['V9950', 'V10176', 'V12098', 'V2479', 'V8473']",False
6,V5951,0.981295,-0.0,5,"['V9950', 'V10176', 'V12098', 'V2479', 'V8473']",False
7,V5951,0.981295,-0.0,5,"['V9950', 'V10176', 'V12098', 'V2479', 'V8473']",False
