feature,feature_index,dataset,dataset_variant,algorithm
V510,0,SRBCT_txt,raw,SFS
V247,1,SRBCT_txt,raw,SFS
V743,2,SRBCT_txt,raw,SFS
V95,3,SRBCT_txt,raw,SFS
