feature,feature_index,dataset,dataset_variant,algorithm
V1840,0,Prostate,union,SFS
V2620,1,Prostate,union,SFS
V4337,2,Prostate,union,SFS
V106,3,Prostate,union,SFS
V1479,4,Prostate,union,SFS
V5250,5,Prostate,union,SFS
