feature,feature_index,dataset,dataset_variant,algorithm
V5575,0,adenocarcinoma,union,sklearn_SFS
V8494,1,adenocarcinoma,union,sklearn_SFS
V8623,2,adenocarcinoma,union,sklearn_SFS
