feature,feature_index,dataset,dataset_variant,algorithm
V1893,0,Brain,union,SFS
V523,1,Brain,union,SFS
V1219,2,Brain,union,SFS
V3658,3,Brain,union,SFS
V5214,4,Brain,union,SFS
V1561,5,Brain,union,SFS
