iteration,best_candidate,best_score,improvement,n_selected,selected_features,is_new_peak
1,V1585,0.416667,0.216667,2,"['V1664', 'V1585']",True
2,V1660,0.5,0.083333,3,"['V1664', 'V1585', 'V1660']",True
3,V4526,0.533333,0.033333,4,"['V1664', 'V1585', 'V1660', 'V4526']",True
4,V2687,0.55,0.016667,5,"['V1664', 'V1585', 'V1660', 'V4526', 'V2687']",True
5,V3427,0.6,0.05,6,"['V1664', 'V1585', 'V1660', 'V4526', 'V2687', 'V3427']",True
6,V1184,0.566667,-0.033333,7,"['V1664', 'V1585', 'V1660', 'V4526', 'V2687', 'V3427', 'V1184']",False
7,V5161,0.566667,0.0,8,"['V1664', 'V1585', 'V1660', 'V4526', 'V2687', 'V3427', 'V1184', 'V5161']",False
8,V3325,0.533333,-0.033333,9,"['V1664', 'V1585', 'V1660', 'V4526', 'V2687', 'V3427', 'V1184', 'V5161', 'V3325']",False
