Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Sklearn_SFS_Raw,LogReg,0.7684,0.1026,0.1473,23.72
Seeded_SFS_Raw,LogReg,0.7474,0.12,0.1263,20.33
Sklearn_SFS_Union,LogReg,0.7368,0.1289,0.1157,18.63
Seeded_SFS_Union,LogReg,0.7263,0.0686,0.1052,16.94
CORRELATION,LogReg,0.6842,0.0832,0.0631,10.16
ANOVA_F_TEST,LogReg,0.6842,0.0832,0.0631,10.16
MUTUAL_INFORMATION,LogReg,0.6737,0.0781,0.0526,8.47
Sklearn_SFS_Raw,Tree,0.6737,0.1079,0.0526,8.47
MUTUAL_INFORMATION,Tree,0.6421,0.0686,0.021,3.38
Sklearn_SFS_Union,Tree,0.6211,0.0781,0.0,0.0
None,LogReg,0.6211,0.12,0.0,0.0
CHI_SQUARED,Tree,0.6,0.0956,-0.0211,-3.4
Seeded_SFS_Union,Tree,0.5684,0.1141,-0.0527,-8.48
CHI_SQUARED,LogReg,0.5684,0.0686,-0.0527,-8.48
ANOVA_F_TEST,Tree,0.5474,0.0288,-0.0737,-11.87
VARIANCE,Tree,0.5368,0.1948,-0.0843,-13.57
Seeded_SFS_Raw,Tree,0.5263,0.1234,-0.0948,-15.26
CORRELATION,Tree,0.4842,0.1012,-0.1369,-22.04
None,Tree,0.4737,0.1289,-0.1474,-23.73
VARIANCE,LogReg,0.4526,0.1268,-0.1685,-27.13
