feature,dataset,dataset_variant,model_sfs,algorithm
V7301,adenocarcinoma,union,LOG,seededsfsselector
V5953,adenocarcinoma,union,LOG,seededsfsselector
V125,adenocarcinoma,union,LOG,seededsfsselector
V5575,adenocarcinoma,union,LOG,seededsfsselector
