feature,dataset,dataset_variant,model_sfs,algorithm
1881,Leukemia_3c1,union,LOG,seededsfsselector
5299,Leukemia_3c1,union,LOG,seededsfsselector
5542,Leukemia_3c1,union,LOG,seededsfsselector
1684,Leukemia_3c1,union,LOG,seededsfsselector
