feature,feature_index,dataset,dataset_variant,algorithm
1053,0,CNS1,union,SFS
359,1,CNS1,union,SFS
2694,2,CNS1,union,SFS
1319,3,CNS1,union,SFS
6776,4,CNS1,union,SFS
