feature,feature_index,dataset,dataset_variant,algorithm
V1050,0,Brain,union,sklearn_SFS
V1893,1,Brain,union,sklearn_SFS
V2849,2,Brain,union,sklearn_SFS
V4081,3,Brain,union,sklearn_SFS
V5260,4,Brain,union,sklearn_SFS
