feature,feature_index,dataset,dataset_variant,algorithm
V510,0,SRBCT_txt,raw,SFS
V847,1,SRBCT_txt,raw,SFS
V843,2,SRBCT_txt,raw,SFS
V797,3,SRBCT_txt,raw,SFS
V3,4,SRBCT_txt,raw,SFS
V154,5,SRBCT_txt,raw,SFS
