iteration,best_candidate,best_score,improvement,n_selected,selected_features,is_new_peak
1,V5161,0.433333,0.083333,3,"['V1664', 'V2966', 'V5161']",True
2,V3992,0.483333,0.05,4,"['V1664', 'V2966', 'V5161', 'V3992']",True
3,V2440,0.55,0.066667,5,"['V1664', 'V2966', 'V5161', 'V3992', 'V2440']",True
4,V11,0.566667,0.016667,6,"['V1664', 'V2966', 'V5161', 'V3992', 'V2440', 'V11']",True
5,V4364,0.6,0.033333,7,"['V1664', 'V2966', 'V5161', 'V3992', 'V2440', 'V11', 'V4364']",True
6,V4296,0.616667,0.016667,8,"['V1664', 'V2966', 'V5161', 'V3992', 'V2440', 'V11', 'V4364', 'V4296']",True
7,V1055,0.583333,-0.033333,9,"['V1664', 'V2966', 'V5161', 'V3992', 'V2440', 'V11', 'V4364', 'V4296', 'V1055']",False
8,V1080,0.566667,-0.016667,10,"['V1664', 'V2966', 'V5161', 'V3992', 'V2440', 'V11', 'V4364', 'V4296', 'V1055', 'V1080']",False
9,V1660,0.583333,0.016667,11,"['V1664', 'V2966', 'V5161', 'V3992', 'V2440', 'V11', 'V4364', 'V4296', 'V1055', 'V1080', 'V1660']",False
