feature,feature_index,dataset,dataset_variant,algorithm
V7301,0,adenocarcinoma,union,SFS
V5953,1,adenocarcinoma,union,SFS
V3601,2,adenocarcinoma,union,SFS
V6316,3,adenocarcinoma,union,SFS
