feature,dataset,dataset_variant,model_sfs,algorithm
V3128,DLBCL,union,LOG,seededsfsselector
V3943,DLBCL,union,LOG,seededsfsselector
V4645,DLBCL,union,LOG,seededsfsselector
V1316,DLBCL,union,LOG,seededsfsselector
V11,DLBCL,union,LOG,seededsfsselector
V1072,DLBCL,union,LOG,seededsfsselector
V1663,DLBCL,union,LOG,seededsfsselector
V1123,DLBCL,union,LOG,seededsfsselector
