feature,dataset,dataset_variant,algorithm
V1004,SRBCT_txt,union,sklearnsfsselector
V1067,SRBCT_txt,union,sklearnsfsselector
V1646,SRBCT_txt,union,sklearnsfsselector
V2051,SRBCT_txt,union,sklearnsfsselector
