Ensemble Filter Selection Report
Date: 2026-04-12 14:29:23
Total methods used: 5
------------------------------------------------------------
Feature  Votes
   1881      5
   4846      4
   2641      4
   6605      4
   1833      4
   1703      4
   1684      4
    757      4
   4317      4
   2120      4
