feature,feature_index,dataset,dataset_variant,algorithm
V1664,0,Tumors9,union,SFS
V905,1,Tumors9,union,SFS
V2628,2,Tumors9,union,SFS
V3663,3,Tumors9,union,SFS
V2591,4,Tumors9,union,SFS
V3861,5,Tumors9,union,SFS
V81,6,Tumors9,union,SFS
V1184,7,Tumors9,union,SFS
V1526,8,Tumors9,union,SFS
V2064,9,Tumors9,union,SFS
V1817,10,Tumors9,union,SFS
