iteration,best_candidate,best_score,improvement,n_selected,selected_features,accepted
1,V2284,0.761364,0.190909,2,"['V1893', 'V2284']",True
2,V3658,0.829545,0.068182,3,"['V1893', 'V2284', 'V3658']",True
3,V2007,0.854545,0.025,4,"['V1893', 'V2284', 'V3658', 'V2007']",True
4,V2332,0.877273,0.022727,5,"['V1893', 'V2284', 'V3658', 'V2007', 'V2332']",True
5,V1034,0.879545,0.002273,6,"['V1893', 'V2284', 'V3658', 'V2007', 'V2332', 'V1034']",True
6,V3336,0.902273,0.022727,7,"['V1893', 'V2284', 'V3658', 'V2007', 'V2332', 'V1034', 'V3336']",True
7,V2176,0.856818,-0.045455,7,"['V1893', 'V2284', 'V3658', 'V2007', 'V2332', 'V1034', 'V3336']",False
8,V2176,0.856818,-0.045455,7,"['V1893', 'V2284', 'V3658', 'V2007', 'V2332', 'V1034', 'V3336']",False
9,V2176,0.856818,-0.045455,7,"['V1893', 'V2284', 'V3658', 'V2007', 'V2332', 'V1034', 'V3336']",False
