feature,feature_index,dataset,dataset_variant,algorithm
V1893,0,Brain,union,SFS
V523,1,Brain,union,SFS
V541,2,Brain,union,SFS
V3339,3,Brain,union,SFS
V286,4,Brain,union,SFS
V4619,5,Brain,union,SFS
V3658,6,Brain,union,SFS
V463,7,Brain,union,SFS
V4081,8,Brain,union,SFS
V1888,9,Brain,union,SFS
V1219,10,Brain,union,SFS
