feature,feature_index,dataset,dataset_variant,algorithm
M63391,0,colon1,raw,SFS
H49515,1,colon1,raw,SFS
H73758,2,colon1,raw,SFS
T55131,3,colon1,raw,SFS
L38810,4,colon1,raw,SFS
