feature,dataset,dataset_variant,algorithm
V1840,Prostate,union,seededsfsselector
V2620,Prostate,union,seededsfsselector
V4337,Prostate,union,seededsfsselector
V106,Prostate,union,seededsfsselector
V1479,Prostate,union,seededsfsselector
V5250,Prostate,union,seededsfsselector
