feature,dataset,dataset_variant,algorithm
V155,NCI,raw,seededsfsselector
V4618,NCI,raw,seededsfsselector
V1006,NCI,raw,seededsfsselector
V5160,NCI,raw,seededsfsselector
V3049,NCI,raw,seededsfsselector
V4687,NCI,raw,seededsfsselector
V3410,NCI,raw,seededsfsselector
