feature,feature_index,dataset,dataset_variant,algorithm
M63391,0,colon1,union,SFS
U32519,1,colon1,union,SFS
X12369,2,colon1,union,SFS
T48804,3,colon1,union,SFS
L28809,4,colon1,union,SFS
D14812,5,colon1,union,SFS
H40095,6,colon1,union,SFS
