feature,dataset,dataset_variant,algorithm
V339,SRBCT_txt,raw,sklearnsfsselector
V1040,SRBCT_txt,raw,sklearnsfsselector
V1067,SRBCT_txt,raw,sklearnsfsselector
V1646,SRBCT_txt,raw,sklearnsfsselector
