Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Seeded_SFS_Union,LogReg,1.0,0.0,0.0543,5.74
Sklearn_SFS_Raw,LogReg,1.0,0.0,0.0543,5.74
Seeded_SFS_Raw,LogReg,1.0,0.0,0.0543,5.74
Sklearn_SFS_Union,LogReg,0.9857,0.0319,0.04,4.23
MUTUAL_INFORMATION,LogReg,0.9724,0.0379,0.0267,2.82
ANOVA_F_TEST,LogReg,0.9724,0.0379,0.0267,2.82
CHI_SQUARED,LogReg,0.9724,0.0379,0.0267,2.82
CORRELATION,LogReg,0.959,0.0602,0.0133,1.41
None,LogReg,0.9457,0.0871,0.0,0.0
Sklearn_SFS_Union,Tree,0.9448,0.031,-0.0009,-0.1
VARIANCE,LogReg,0.9448,0.0564,-0.0009,-0.1
Sklearn_SFS_Raw,Tree,0.9448,0.031,-0.0009,-0.1
VARIANCE,Tree,0.9171,0.0883,-0.0286,-3.02
Seeded_SFS_Raw,Tree,0.9029,0.0765,-0.0428,-4.53
Seeded_SFS_Union,Tree,0.8886,0.0923,-0.0571,-6.04
CORRELATION,Tree,0.861,0.1116,-0.0847,-8.96
MUTUAL_INFORMATION,Tree,0.8476,0.124,-0.0981,-10.37
CHI_SQUARED,Tree,0.8476,0.1132,-0.0981,-10.37
ANOVA_F_TEST,Tree,0.8467,0.1368,-0.099,-10.47
None,Tree,0.82,0.1424,-0.1257,-13.29
