feature,feature_index,dataset,dataset_variant,algorithm
V4529,0,NCI,raw,SFS
V207,1,NCI,raw,SFS
V4602,2,NCI,raw,SFS
V155,3,NCI,raw,SFS
V1447,4,NCI,raw,SFS
