feature,feature_index,dataset,dataset_variant,algorithm
V510,0,SRBCT_txt,union,SFS
V847,1,SRBCT_txt,union,SFS
V843,2,SRBCT_txt,union,SFS
V2254,3,SRBCT_txt,union,SFS
V743,4,SRBCT_txt,union,SFS
V1067,5,SRBCT_txt,union,SFS
