feature,feature_index,dataset,dataset_variant,algorithm
V2221,0,Breast2classes,raw,SFS
V2529,1,Breast2classes,raw,SFS
V4213,2,Breast2classes,raw,SFS
V2733,3,Breast2classes,raw,SFS
V583,4,Breast2classes,raw,SFS
V220,5,Breast2classes,raw,SFS
V2535,6,Breast2classes,raw,SFS
V3414,7,Breast2classes,raw,SFS
V1072,8,Breast2classes,raw,SFS
V4482,9,Breast2classes,raw,SFS
V4280,10,Breast2classes,raw,SFS
V2188,11,Breast2classes,raw,SFS
